,site,tsOrig,dbm,id,state,last_antenna,ts,lat,lon,ordinal_date,hour
852,Bolin,1433293413,-110.6,121,possible departure,2,03/06/2015 1:03,42.62277164,-80.72186668,154,1
732,Bolin,1433379905,-97.7,121,possible departure,1,04/06/2015 1:05,42.62277164,-80.72186668,155,1
841,Bolin,1433467568,-94,121,possible departure,3,05/06/2015 1:26,42.62277164,-80.72186668,156,1
815,Bolin,1433553287,-117,121,possible departure,2,06/06/2015 1:14,42.62277164,-80.72186668,157,1
843,Bolin,1433640396,-111,121,possible departure,2,07/06/2015 1:26,42.62277164,-80.72186668,158,1
737,Bolin,1433811869,-99.2,121,possible departure,2,09/06/2015 1:04,42.62277164,-80.72186668,160,1
806,Bolin,1433898744,-106.6,121,possible departure,2,10/06/2015 1:12,42.62277164,-80.72186668,161,1
834,Bolin,1433984427,-105.7,121,possible departure,2,11/06/2015 1:00,42.62277164,-80.72186668,162,1
740,Bolin,1434071039,-105.3,121,possible departure,2,12/06/2015 1:03,42.62277164,-80.72186668,163,1
741,Bolin,1434157801,-105.4,121,possible departure,3,13/06/2015 1:10,42.62277164,-80.72186668,164,1
742,Bolin,1434244101,-98.7,121,possible departure,3,14/06/2015 1:08,42.62277164,-80.72186668,165,1
743,Bolin,1434330550,-103.6,121,possible departure,2,15/06/2015 1:09,42.62277164,-80.72186668,166,1
785,Bolin,1434415552,-82.7,121,departure,3,16/06/2015 0:45,42.62277164,-80.72186668,167,0
1115,ClearCreek,1434416763,-99.3,121,flyby,3,16/06/2015 1:06,42.58185569,-80.57631549,167,1
1016,BSC,1434417499,-114.2,121,flyby,1,16/06/2015 1:18,42.6153719,-80.458146,167,1
1684,OldCut,1434417744,-86.6,121,arrival final,2,16/06/2015 1:22,42.58342722,-80.39647167,167,1
1646,OldCut,1434417765,-105.1,121,sleep time,3,16/06/2015 1:22,42.58342722,-80.39647167,167,1
749,Bolin,1434503002,-93.3,121,departure,1,17/06/2015 1:03,42.62277164,-80.72186668,168,1
1103,ClearCreek,1434503817,-105.8,121,flyby,1,17/06/2015 1:16,42.58185569,-80.57631549,168,1
1018,BSC,1434504492,-113.4,121,flyby,1,17/06/2015 1:28,42.6153719,-80.458146,168,1
1652,OldCut,1434504794,-91.4,121,arrival final,2,17/06/2015 1:33,42.58342722,-80.39647167,168,1
1670,OldCut,1434504836,-108.2,121,sleep time,2,17/06/2015 1:33,42.58342722,-80.39647167,168,1
754,Bolin,1434586293,-100.1,121,departure,1,18/06/2015 0:11,42.62277164,-80.72186668,169,0
1675,OldCut,1434589764,-98.7,121,arrival,1,18/06/2015 1:09,42.58342722,-80.39647167,169,1
635,Bolin,1434674928,-93.2,121,departure,3,19/06/2015 0:48,42.62277164,-80.72186668,170,0
1098,ClearCreek,1434675737,-109.1,121,flyby,1,19/06/2015 1:02,42.58185569,-80.57631549,170,1
1648,OldCut,1434676707,-92.4,121,arrival final,2,19/06/2015 1:18,42.58342722,-80.39647167,170,1
1747,OldCut,1434676707,-92.4,121,sleep time,3,19/06/2015 1:18,42.58342722,-80.39647167,170,1
760,Bolin,1434760270,-87.8,121,departure,3,20/06/2015 0:31,42.62277164,-80.72186668,171,0
1926,OldCut,1434763076,-95.9,121,arrival,1,20/06/2015 1:17,42.58342722,-80.39647167,171,1
762,Bolin,1434848543,-91.6,121,departure,3,21/06/2015 1:02,42.62277164,-80.72186668,172,1
1069,BSC,1434850078,-119.5,121,flyby,2,21/06/2015 1:27,42.6153719,-80.458146,172,1
1830,OldCut,1434851048,-97,121,arrival final,1,21/06/2015 1:44,42.58342722,-80.39647167,172,1
1794,OldCut,1434851133,-116.6,121,sleep time,3,21/06/2015 1:45,42.58342722,-80.39647167,172,1
766,Bolin,1434933282,-98.1,121,departure,1,22/06/2015 0:34,42.62277164,-80.72186668,173,0
1065,BSC,1434934864,-108.9,121,flyby,1,22/06/2015 1:01,42.6153719,-80.458146,173,1
1593,LongPointEcoAdv,1434935358,-122.1,121,flyby,2,22/06/2015 1:09,42.68979697,-80.34951285,173,1
1879,OldCut,1434935443,-97.5,121,arrival,2,22/06/2015 1:10,42.58342722,-80.39647167,173,1
649,Bolin,1435020200,-85.3,121,departure,3,23/06/2015 0:43,42.62277164,-80.72186668,174,0
1126,ClearCreek,1435021347,-77.4,121,flyby,1,23/06/2015 1:02,42.58185569,-80.57631549,174,1
2025,OldCut,1435022550,-93.8,121,arrival,1,23/06/2015 1:22,42.58342722,-80.39647167,174,1
868,Bolin,1435104207,-94.7,121,departure,1,24/06/2015 0:03,42.62277164,-80.72186668,175,0
1057,BSC,1435107588,-103.1,121,flyby,2,24/06/2015 0:59,42.6153719,-80.458146,175,0
1695,OldCut,1435108258,-87.9,121,arrival final,2,24/06/2015 1:10,42.58342722,-80.39647167,175,1
1832,OldCut,1435108315,-106.9,121,sleep time,3,24/06/2015 1:11,42.58342722,-80.39647167,175,1
777,Bolin,1435193240,-95.5,121,departure,3,25/06/2015 0:47,42.62277164,-80.72186668,176,0
1041,BSC,1435194653,-111.1,121,flyby,1,25/06/2015 1:10,42.6153719,-80.458146,176,1
1726,OldCut,1435195492,-93.8,121,arrival,3,25/06/2015 1:24,42.58342722,-80.39647167,176,1
780,Bolin,1435279093,-87.9,121,departure,3,26/06/2015 0:38,42.62277164,-80.72186668,177,0
1810,OldCut,1435281534,-96.8,121,arrival final,2,26/06/2015 1:18,42.58342722,-80.39647167,177,1
1681,OldCut,1435281584,-108.8,121,sleep time,3,26/06/2015 1:19,42.58342722,-80.39647167,177,1
783,Bolin,1435364400,-92.7,121,departure,3,27/06/2015 0:20,42.62277164,-80.72186668,178,0
1195,ClearCreek,1435365976,-116.8,121,flyby,1,27/06/2015 0:46,42.58185569,-80.57631549,178,0
1679,OldCut,1435367612,-93,121,arrival,3,27/06/2015 1:13,42.58342722,-80.39647167,178,1
786,Bolin,1435450054,-104.6,121,possible departure,3,28/06/2015 0:07,42.62277164,-80.72186668,179,0
747,Bolin,1435538881,-90,121,departure,3,29/06/2015 0:48,42.62277164,-80.72186668,180,0
1090,ClearCreek,1435540055,-107.7,121,flyby,1,29/06/2015 1:07,42.58185569,-80.57631549,180,1
1641,OldCut,1435541193,-104,121,arrival,1,29/06/2015 1:26,42.58342722,-80.39647167,180,1
669,Bolin,1435620675,-91.6,121,departure,3,29/06/2015 23:31,42.62277164,-80.72186668,180,23
1190,ClearCreek,1435623254,-86.1,121,flyby,1,30/06/2015 0:14,42.58185569,-80.57631549,181,0
1944,OldCut,1435625383,-85.5,121,arrival final,2,30/06/2015 0:49,42.58342722,-80.39647167,181,0
1862,OldCut,1435625418,-102.7,121,sleep time,3,30/06/2015 0:50,42.58342722,-80.39647167,181,0
794,Bolin,1435707025,-95,121,departure,3,30/06/2015 23:30,42.62277164,-80.72186668,181,23
1092,ClearCreek,1435709491,-114.4,121,flyby,3,01/07/2015 0:11,42.58185569,-80.57631549,182,0
1680,OldCut,1435711105,-93.3,121,arrival,3,01/07/2015 0:38,42.58342722,-80.39647167,182,0
676,Bolin,1435791033,-95.1,121,departure,3,01/07/2015 22:50,42.62277164,-80.72186668,182,22
1655,OldCut,1435795956,-94.5,121,other,2,02/07/2015 0:12,42.58342722,-80.39647167,183,0
937,Breakwater,1435797417,-109.6,121,arrival,1,02/07/2015 0:36,42.56109662,-80.28445147,183,0
800,Bolin,1435880257,-87.4,121,departure,3,02/07/2015 23:37,42.62277164,-80.72186668,183,23
1144,ClearCreek,1435882966,-108,121,flyby,3,03/07/2015 0:22,42.58185569,-80.57631549,184,0
1831,OldCut,1435884727,-102.2,121,arrival,2,03/07/2015 0:52,42.58342722,-80.39647167,184,0
763,Bolin,1435963449,-101.4,121,departure,3,03/07/2015 22:44,42.62277164,-80.72186668,184,22
1202,ClearCreek,1435966095,-110.1,121,flyby,3,03/07/2015 23:28,42.58185569,-80.57631549,184,23
1875,OldCut,1435967958,-116.4,121,flyby,2,03/07/2015 23:59,42.58342722,-80.39647167,184,23
983,Breakwater,1435970105,-105.4,121,arrival,1,04/07/2015 0:35,42.56109662,-80.28445147,185,0
79,Bolin,1436030473,-90.2,121,departure,3,04/07/2015 17:21,42.62277164,-80.72186668,185,17
250,ClearCreek,1436051901,-97.1,121,flyby,3,04/07/2015 23:18,42.58185569,-80.57631549,185,23
428,OldCut,1436053851,-86,121,arrival,3,04/07/2015 23:50,42.58342722,-80.39647167,185,23
86,Bolin,1436118470,-87.4,121,departure,3,05/07/2015 17:47,42.62277164,-80.72186668,186,17
2315,Werden,1436136554,-85.5,121,flyby,1,05/07/2015 22:49,42.754635,-80.27076109,186,22
1574,LongPointEcoAdv,1436140315,-109.5,121,arrival,3,05/07/2015 23:51,42.68979697,-80.34951285,186,23
51,Bolin,1436198461,-102.7,121,departure,3,06/07/2015 16:01,42.62277164,-80.72186668,187,16
238,ClearCreek,1436205144,-117.3,121,arrival,2,06/07/2015 17:52,42.58185569,-80.57631549,187,17
70,Bolin,1436306286,-89.6,121,departure,3,07/07/2015 21:58,42.62277164,-80.72186668,188,21
199,ClearCreek,1436311588,-109.6,121,flyby,2,07/07/2015 23:26,42.58185569,-80.57631549,188,23
406,OldCut,1436315632,-88.5,121,arrival,3,08/07/2015 0:33,42.58342722,-80.39647167,189,0
758,Bolin,1433293504,-97.3,122,departure,3,03/06/2015 1:05,42.62277164,-80.72186668,154,1
1692,OldCut,1433295918,-108.5,122,arrival,2,03/06/2015 1:45,42.58342722,-80.39647167,154,1
639,Bolin,1433379094,-96.1,122,departure,3,04/06/2015 0:51,42.62277164,-80.72186668,155,0
1858,OldCut,1433381818,-98.8,122,arrival,3,04/06/2015 1:36,42.58342722,-80.39647167,155,1
641,Bolin,1433465658,-91.6,122,departure,3,05/06/2015 0:54,42.62277164,-80.72186668,156,0
2350,WesternTrailer,1433468428,-96,122,flyby,1,05/06/2015 1:40,42.58297269,-80.39787581,156,1
1752,OldCut,1433468471,-87,122,arrival,2,05/06/2015 1:41,42.58342722,-80.39647167,156,1
644,Bolin,1433552765,-86.6,122,departure,1,06/06/2015 1:06,42.62277164,-80.72186668,157,1
1095,ClearCreek,1433553506,-120.1,122,arrival,2,06/06/2015 1:18,42.58185569,-80.57631549,157,1
768,Bolin,1433725428,-95.2,122,possible departure,1,08/06/2015 1:03,42.62277164,-80.72186668,159,1
769,Bolin,1433808836,-121.7,122,departure,3,09/06/2015 0:13,42.62277164,-80.72186668,160,0
1166,ClearCreek,1433810623,-86.4,122,flyby,1,09/06/2015 0:43,42.58185569,-80.57631549,160,0
1050,BSC,1433811474,-109.2,122,flyby,1,09/06/2015 0:57,42.6153719,-80.458146,160,0
1731,OldCut,1433811929,-96.8,122,arrival,2,09/06/2015 1:05,42.58342722,-80.39647167,160,1
773,Bolin,1433899017,-90.8,122,departure,3,10/06/2015 1:16,42.62277164,-80.72186668,161,1
1212,ClearCreek,1433899755,-111.6,122,flyby,1,10/06/2015 1:29,42.58185569,-80.57631549,161,1
1051,BSC,1433900092,-120.6,122,arrival,4,10/06/2015 1:34,42.6153719,-80.458146,161,1
776,Bolin,1433985568,-92.8,122,departure,3,11/06/2015 1:19,42.62277164,-80.72186668,162,1
1200,ClearCreek,1433986377,-92.8,122,arrival,1,11/06/2015 1:32,42.58185569,-80.57631549,162,1
778,Bolin,1434069680,-85.8,122,departure,3,12/06/2015 0:41,42.62277164,-80.72186668,163,0
1727,OldCut,1434072651,-95.9,122,arrival,3,12/06/2015 1:30,42.58342722,-80.39647167,163,1
659,Bolin,1434156884,-103.4,122,departure,1,13/06/2015 0:54,42.62277164,-80.72186668,164,0
1005,BSC,1434158576,-112.5,122,flyby,1,13/06/2015 1:22,42.6153719,-80.458146,164,1
1699,OldCut,1434158836,-98.6,122,arrival,1,13/06/2015 1:27,42.58342722,-80.39647167,164,1
662,Bolin,1434243859,-79.6,122,departure,3,14/06/2015 1:04,42.62277164,-80.72186668,165,1
1140,ClearCreek,1434244927,-87.1,122,flyby,1,14/06/2015 1:22,42.58185569,-80.57631549,165,1
1673,OldCut,1434246108,-92.4,122,arrival,2,14/06/2015 1:41,42.58342722,-80.39647167,165,1
665,Bolin,1434328796,-98.5,122,departure,3,15/06/2015 0:39,42.62277164,-80.72186668,166,0
1088,ClearCreek,1434330361,-105.3,122,flyby,1,15/06/2015 1:06,42.58185569,-80.57631549,166,1
1025,BSC,1434331157,-113.1,122,flyby,1,15/06/2015 1:19,42.6153719,-80.458146,166,1
1468,LongPointEcoAdv,1434331306,-121.2,122,flyby,2,15/06/2015 1:21,42.68979697,-80.34951285,166,1
1750,OldCut,1434331453,-91,122,arrival final,2,15/06/2015 1:24,42.58342722,-80.39647167,166,1
1979,OldCut,1434331822,-118.7,122,sleep time,3,15/06/2015 1:30,42.58342722,-80.39647167,166,1
671,Bolin,1434412941,-121.8,122,departure,1,16/06/2015 0:02,42.62277164,-80.72186668,167,0
1015,BSC,1434415712,-111,122,flyby,1,16/06/2015 0:48,42.6153719,-80.458146,167,0
1651,OldCut,1434416312,-103.3,122,arrival,2,16/06/2015 0:58,42.58342722,-80.39647167,167,0
755,Bolin,1434501839,-94.1,122,departure,1,17/06/2015 0:43,42.62277164,-80.72186668,168,0
1027,BSC,1434503770,-113.1,122,flyby,1,17/06/2015 1:16,42.6153719,-80.458146,168,1
1785,OldCut,1434504121,-90.7,122,arrival,2,17/06/2015 1:22,42.58342722,-80.39647167,168,1
798,Bolin,1434586574,-93.2,122,departure,3,18/06/2015 0:16,42.62277164,-80.72186668,169,0
1157,ClearCreek,1434588510,-115.5,122,flyby,1,18/06/2015 0:48,42.58185569,-80.57631549,169,0
1953,OldCut,1434589960,-103.8,122,arrival,1,18/06/2015 1:12,42.58342722,-80.39647167,169,1
788,Bolin,1434673411,-87.6,122,departure,1,19/06/2015 0:23,42.62277164,-80.72186668,170,0
1236,ClearCreek,1434674923,-113.9,122,flyby,1,19/06/2015 0:48,42.58185569,-80.57631549,170,0
1992,OldCut,1434676120,-93.9,122,arrival final,2,19/06/2015 1:08,42.58342722,-80.39647167,170,1
1974,OldCut,1434676135,-108.2,122,sleep time,3,19/06/2015 1:08,42.58342722,-80.39647167,170,1
805,Bolin,1434759176,-86.1,122,departure,3,20/06/2015 0:12,42.62277164,-80.72186668,171,0
1029,BSC,1434762432,-114.2,122,flyby,4,20/06/2015 1:07,42.6153719,-80.458146,171,1
1917,OldCut,1434763274,-93.5,122,arrival,1,20/06/2015 1:21,42.58342722,-80.39647167,171,1
687,Bolin,1434847769,-83.6,122,possible departure,3,21/06/2015 0:49,42.62277164,-80.72186668,172,0
809,Bolin,1434934092,-95.7,122,departure,1,22/06/2015 0:48,42.62277164,-80.72186668,173,0
1167,ClearCreek,1434935167,-119.1,122,flyby,1,22/06/2015 1:06,42.58185569,-80.57631549,173,1
1026,BSC,1434935788,-109.5,122,flyby,1,22/06/2015 1:16,42.6153719,-80.458146,173,1
1548,LongPointEcoAdv,1434936076,-121.2,122,flyby,2,22/06/2015 1:21,42.68979697,-80.34951285,173,1
1689,OldCut,1434936240,-90.4,122,arrival,3,22/06/2015 1:24,42.58342722,-80.39647167,173,1
801,Bolin,1435019056,-78.9,122,departure,3,23/06/2015 0:24,42.62277164,-80.72186668,174,0
2009,OldCut,1435022031,-94.8,122,arrival,2,23/06/2015 1:13,42.58342722,-80.39647167,174,1
816,Bolin,1435105640,-101.6,122,departure,1,24/06/2015 0:27,42.62277164,-80.72186668,175,0
1064,BSC,1435108021,-108.6,122,flyby,1,24/06/2015 1:07,42.6153719,-80.458146,175,1
1846,OldCut,1435108648,-87.9,122,arrival,1,24/06/2015 1:17,42.58342722,-80.39647167,175,1
779,Bolin,1435193439,-90,122,departure,3,25/06/2015 0:50,42.62277164,-80.72186668,176,0
1004,BSC,1435194895,-108.7,122,flyby,1,25/06/2015 1:14,42.6153719,-80.458146,176,1
1568,LongPointEcoAdv,1435195121,-121.3,122,flyby,2,25/06/2015 1:18,42.68979697,-80.34951285,176,1
1674,OldCut,1435195287,-91.3,122,arrival,3,25/06/2015 1:21,42.58342722,-80.39647167,176,1
823,Bolin,1435279643,-87.8,122,departure,3,26/06/2015 0:47,42.62277164,-80.72186668,177,0
1704,OldCut,1435282042,-97.7,122,arrival final,3,26/06/2015 1:27,42.58342722,-80.39647167,177,1
1642,OldCut,1435282368,-107.6,122,sleep time,3,26/06/2015 1:32,42.58342722,-80.39647167,177,1
705,Bolin,1435364695,-86.5,122,departure,3,27/06/2015 0:24,42.62277164,-80.72186668,178,0
1645,OldCut,1435367680,-94.8,122,arrival,1,27/06/2015 1:14,42.58342722,-80.39647167,178,1
668,Bolin,1435454815,-120.1,122,sleep time,1,28/06/2015 1:26,42.62277164,-80.72186668,179,1
709,Bolin,1435539771,-91.5,122,departure,3,29/06/2015 1:02,42.62277164,-80.72186668,180,1
1108,ClearCreek,1435540909,-117.2,122,flyby,1,29/06/2015 1:21,42.58185569,-80.57631549,180,1
1822,OldCut,1435542154,-106.8,122,arrival,3,29/06/2015 1:42,42.58342722,-80.39647167,180,1
672,Bolin,1435621799,-97.2,122,departure,3,29/06/2015 23:49,42.62277164,-80.72186668,180,23
1046,BSC,1435624628,-102.1,122,flyby,1,30/06/2015 0:37,42.6153719,-80.458146,181,0
1703,OldCut,1435625848,-89.2,122,arrival,2,30/06/2015 0:57,42.58342722,-80.39647167,181,0
675,Bolin,1435706299,-87.6,122,departure,3,30/06/2015 23:18,42.62277164,-80.72186668,181,23
1217,ClearCreek,1435708021,-106.3,122,flyby,2,30/06/2015 23:47,42.58185569,-80.57631549,181,23
1707,OldCut,1435710231,-89.4,122,arrival final,3,01/07/2015 0:23,42.58342722,-80.39647167,182,0
1660,OldCut,1435711538,-102.3,122,sleep time,3,01/07/2015 0:45,42.58342722,-80.39647167,182,0
814,Bolin,1435791164,-88.3,122,departure,3,01/07/2015 22:52,42.62277164,-80.72186668,182,22
228,ClearCreek,1435793312,-97.7,122,flyby,3,01/07/2015 23:28,42.58185569,-80.57631549,182,23
401,OldCut,1435798971,-91.3,122,arrival,2,02/07/2015 1:02,42.58342722,-80.39647167,183,1
803,Bolin,1435877148,-119.8,122,departure,1,02/07/2015 22:45,42.62277164,-80.72186668,183,22
521,Walsingham,1435879646,-103.8,122,flyby,3,02/07/2015 23:27,42.63538061,-80.55764544,183,23
491,OldCut,1435884417,-86.1,122,arrival,3,03/07/2015 0:46,42.58342722,-80.39647167,184,0
56,Bolin,1435941526,-91.6,122,departure,3,03/07/2015 16:38,42.62277164,-80.72186668,184,16
522,Walsingham,1435952336,-119.2,122,flyby,3,03/07/2015 19:38,42.63538061,-80.55764544,184,19
360,LongPointEcoAdv,1435953444,-117.3,122,flyby,2,03/07/2015 19:57,42.68979697,-80.34951285,184,19
154,Breakwater,1435955659,-100.1,122,flyby,1,03/07/2015 20:34,42.56109662,-80.28445147,184,20
1957,OldCut,1435961834,-88.6,122,flyby,3,03/07/2015 22:17,42.58342722,-80.39647167,184,22
1950,OldCut,1435968763,-88.5,122,flyby,3,04/07/2015 0:12,42.58342722,-80.39647167,185,0
975,Breakwater,1435971385,-73.2,122,arrival,1,04/07/2015 0:56,42.56109662,-80.28445147,185,0
24,Bolin,1436013306,-93.1,122,departure,1,04/07/2015 12:35,42.62277164,-80.72186668,185,12
526,Walsingham,1436053687,-112.5,122,flyby,3,04/07/2015 23:48,42.63538061,-80.55764544,185,23
496,OldCut,1436058259,-104.1,122,arrival,1,05/07/2015 1:04,42.58342722,-80.39647167,186,1
71,Bolin,1436107540,-79.3,122,departure,3,05/07/2015 14:45,42.62277164,-80.72186668,186,14
292,EastPortBruce,1436110245,-95.3,122,flyby,2,05/07/2015 15:30,42.66175904,-80.90435689,186,15
582,WestPortBruce,1436112183,-114,122,flyby,3,05/07/2015 16:03,42.66152277,-81.06269703,186,16
277,EastPortBruce,1436113731,-87.6,122,flyby,2,05/07/2015 16:28,42.66175904,-80.90435689,186,16
329,LongPointEcoAdv,1436123926,-90.6,122,flyby,3,05/07/2015 19:18,42.68979697,-80.34951285,186,19
517,TurkeyPoint,1436125103,-100.2,122,flyby,3,05/07/2015 19:38,42.71016291,-80.35733073,186,19
342,LongPointEcoAdv,1436127582,-93.1,122,flyby,1,05/07/2015 20:19,42.68979697,-80.34951285,186,20
157,Breakwater,1436130435,-104.6,122,flyby,2,05/07/2015 21:07,42.56109662,-80.28445147,186,21
954,Breakwater,1436144236,-111,122,arrival,2,06/07/2015 0:57,42.56109662,-80.28445147,187,0
858,Bolin,1433549387,-85.9,123,flyby,3,06/06/2015 0:09,42.62277164,-80.72186668,157,0
1221,ClearCreek,1433551526,-95.5,123,flyby,1,06/06/2015 0:45,42.58185569,-80.57631549,157,0
1902,OldCut,1433553247,-118.3,123,arrival,3,06/06/2015 1:14,42.58342722,-80.39647167,157,1
792,Bolin,1433631038,-120.2,123,flyby,3,06/06/2015 22:50,42.62277164,-80.72186668,157,22
1714,OldCut,1433640765,-119,123,arrival,3,07/06/2015 1:32,42.58342722,-80.39647167,158,1
1,Bolin,1433800246,-124.3,123,possible departure,3,08/06/2015 21:50,42.62277164,-80.72186668,159,21
1102,ClearCreek,1433806376,-85.2,123,flyby,2,08/06/2015 23:32,42.58185569,-80.57631549,159,23
13,OldCut,1433810797,-101.6,123,arrival,2,09/06/2015 0:46,42.58342722,-80.39647167,160,0
797,Bolin,1434065350,-94.2,123,possible flyby,1,11/06/2015 23:29,42.62277164,-80.72186668,162,23
838,Bolin,1434148747,-101.9,123,possible flyby,1,12/06/2015 22:39,42.62277164,-80.72186668,163,22
839,Bolin,1434668613,-121.4,123,possible flyby,3,18/06/2015 23:03,42.62277164,-80.72186668,169,23
888,Bolin,1435192035,-121,123,possible flyby,3,25/06/2015 0:27,42.62277164,-80.72186668,176,0
720,Bolin,1435620201,-121.9,123,possible flyby,3,29/06/2015 23:23,42.62277164,-80.72186668,180,23
721,Bolin,1436049708,-119.7,123,possible flyby,3,04/07/2015 22:41,42.62277164,-80.72186668,185,22
804,Bolin,1436306749,-124,123,possible flyby,3,07/07/2015 22:05,42.62277164,-80.72186668,188,22
723,Bolin,1436397761,-117.8,123,possible flyby,3,08/07/2015 23:22,42.62277164,-80.72186668,189,23
11,Bolin,1436650452,-121.8,123,flyby,3,11/07/2015 21:34,42.62277164,-80.72186668,192,21
395,LowerBigCreek,1436659344,-93.1,123,flyby,2,12/07/2015 0:02,42.69997167,-80.54340491,193,0
533,Walsingham,1436660685,-102.8,123,flyby,3,12/07/2015 0:24,42.63538061,-80.55764544,193,0
251,ClearCreek,1436661410,-110.7,123,flyby,3,12/07/2015 0:36,42.58185569,-80.57631549,193,0
494,OldCut,1436662852,-104.4,123,arrival,2,12/07/2015 1:00,42.58342722,-80.39647167,193,1
59,Bolin,1436712977,-115.6,123,flyby,3,12/07/2015 14:56,42.62277164,-80.72186668,193,14
202,ClearCreek,1436720047,-84.9,123,flyby,1,12/07/2015 16:54,42.58185569,-80.57631549,193,16
523,Walsingham,1436727029,-115.9,123,flyby,3,12/07/2015 18:50,42.63538061,-80.55764544,193,18
381,LowerBigCreek,1436727767,-112.7,123,flyby,3,12/07/2015 19:02,42.69997167,-80.54340491,193,19
548,Werden,1436737845,-86.6,123,arrival,1,12/07/2015 21:50,42.754635,-80.27076109,193,21
3,Bolin,1436786509,-84.1,123,departure,1,13/07/2015 11:21,42.62277164,-80.72186668,194,11
481,OldCut,1436804573,-97.1,123,flyby,2,13/07/2015 16:22,42.58342722,-80.39647167,194,16
7,Breakwater,1436805579,-114,123,flyby,1,13/07/2015 16:39,42.56109662,-80.28445147,194,16
377,LongPointTip,1436821388,-83.8,123,arrival,2,13/07/2015 21:03,42.54871967,-80.05079744,194,21
34,Bolin,1436889048,-109.7,123,departure,1,14/07/2015 15:50,42.62277164,-80.72186668,195,15
414,OldCut,1436917843,-110.2,123,arrival,3,14/07/2015 23:50,42.58342722,-80.39647167,195,23
879,Bolin,1433293001,-95.7,124,possible departure,2,03/06/2015 0:56,42.62277164,-80.72186668,154,0
882,Bolin,1433379982,-106,124,possible departure,2,04/06/2015 1:06,42.62277164,-80.72186668,155,1
817,Bolin,1433466261,-98.3,124,possible departure,2,05/06/2015 1:04,42.62277164,-80.72186668,156,1
697,Bolin,1433552717,-109.4,124,possible departure,2,06/06/2015 1:05,42.62277164,-80.72186668,157,1
861,Bolin,1433639613,-100.3,124,possible departure,2,07/06/2015 1:13,42.62277164,-80.72186668,158,1
875,Bolin,1433724941,-96.7,124,possible departure,3,08/06/2015 0:55,42.62277164,-80.72186668,159,0
821,Bolin,1433812654,-98.8,124,possible departure,2,09/06/2015 1:17,42.62277164,-80.72186668,160,1
782,Bolin,1433898329,-104,124,possible departure,2,10/06/2015 1:05,42.62277164,-80.72186668,161,1
864,Bolin,1433982557,-95.1,124,departure,3,11/06/2015 0:29,42.62277164,-80.72186668,162,0
1168,ClearCreek,1433983387,-105.1,124,flyby,2,11/06/2015 0:43,42.58185569,-80.57631549,162,0
1034,BSC,1433984090,-116,124,flyby,1,11/06/2015 0:54,42.6153719,-80.458146,162,0
1697,OldCut,1433984536,-91.8,124,arrival,3,11/06/2015 1:02,42.58342722,-80.39647167,162,1
787,Bolin,1434070028,-92.3,124,departure,3,12/06/2015 0:47,42.62277164,-80.72186668,163,0
1130,ClearCreek,1434071079,-84.9,124,flyby,1,12/06/2015 1:04,42.58185569,-80.57631549,163,1
1649,OldCut,1434072366,-103.4,124,arrival,1,12/06/2015 1:26,42.58342722,-80.39647167,163,1
750,Bolin,1434156143,-96.8,124,departure,3,13/06/2015 0:42,42.62277164,-80.72186668,164,0
1148,ClearCreek,1434157167,-90,124,flyby,1,13/06/2015 0:59,42.58185569,-80.57631549,164,0
1724,OldCut,1434158415,-92.6,124,arrival,1,13/06/2015 1:20,42.58342722,-80.39647167,164,1
753,Bolin,1434243252,-94.6,124,departure,3,14/06/2015 0:54,42.62277164,-80.72186668,165,0
1123,ClearCreek,1434244561,-88.5,124,flyby,1,14/06/2015 1:16,42.58185569,-80.57631549,165,1
1824,OldCut,1434245741,-91.7,124,arrival,2,14/06/2015 1:35,42.58342722,-80.39647167,165,1
756,Bolin,1434324229,-86.5,124,departure,2,14/06/2015 23:23,42.62277164,-80.72186668,165,23
1117,ClearCreek,1434328200,-118,124,flyby,3,15/06/2015 0:30,42.58185569,-80.57631549,166,0
1040,BSC,1434329542,-113.7,124,arrival,1,15/06/2015 0:52,42.6153719,-80.458146,166,0
881,Bolin,1434414248,-80.5,124,departure,3,16/06/2015 0:24,42.62277164,-80.72186668,167,0
1085,BSC,1434416415,-114.3,124,arrival,1,16/06/2015 1:00,42.6153719,-80.458146,167,1
828,Bolin,1434502180,-80.6,124,possible departure,1,17/06/2015 0:49,42.62277164,-80.72186668,168,0
829,Bolin,1434587040,-94.6,124,departure,3,18/06/2015 0:24,42.62277164,-80.72186668,169,0
1071,BSC,1434589660,-111.8,124,flyby,1,18/06/2015 1:07,42.6153719,-80.458146,169,1
1792,OldCut,1434590227,-99.7,124,arrival,1,18/06/2015 1:17,42.58342722,-80.39647167,169,1
832,Bolin,1434674461,-95.5,124,departure,3,19/06/2015 0:41,42.62277164,-80.72186668,170,0
1162,ClearCreek,1434675349,-113.7,124,flyby,1,19/06/2015 0:55,42.58185569,-80.57631549,170,0
1754,OldCut,1434676439,-90.7,124,arrival final,1,19/06/2015 1:13,42.58342722,-80.39647167,170,1
1945,OldCut,1434676474,-99.2,124,sleep time,3,19/06/2015 1:14,42.58342722,-80.39647167,170,1
728,Bolin,1434760065,-92.6,124,departure,3,20/06/2015 0:27,42.62277164,-80.72186668,171,0
1125,ClearCreek,1434761876,-107.9,124,flyby,1,20/06/2015 0:57,42.58185569,-80.57631549,171,0
